text,intent
导航到合肥南站,navigation
帮我去合肥火车站,navigation
我要去万达广场,navigation
导航回家,navigation
去最近的加油站,navigation
带我去滨湖万达,navigation
导航到最近的停车场,navigation
去合肥南高铁站,navigation
我要去合肥新桥机场,navigation
带我去合肥市政府,navigation
导航去附近的医院,navigation
去最近的麦当劳,navigation
帮我导航到公司,navigation
去合肥野生动物园,navigation
导航到巢湖,navigation
去合肥大学城,navigation
帮我去肥西县,navigation
导航到合肥西站,navigation
去最近的超市,navigation
带我去滨湖新区,navigation
把空调温度调到26度,ac_control
把温度降低一点,ac_control
开空调,ac_control
关掉空调,ac_control
温度调高两度,ac_control
把风速调大,ac_control
把风量调小一点,ac_control
开启自动空调,ac_control
把空调设置到22度,ac_control
打开除雾,ac_control
关闭暖风,ac_control
开后排空调,ac_control
调低温度,ac_control
空调调到最大风量,ac_control
把空调温度调到24度,ac_control
开制冷,ac_control
关闭空调风扇,ac_control
把温度调高到28度,ac_control
开启前挡风玻璃加热,ac_control
调整空调为舒适模式,ac_control
播放周杰伦的歌,music_control
放一首安静的音乐,music_control
暂停音乐,music_control
继续播放,music_control
下一首,music_control
上一首,music_control
调大音量,music_control
把音量调小,music_control
播放随机音乐,music_control
切换到蓝牙音乐,music_control
关掉音乐,music_control
播放我喜欢的歌单,music_control
音量调到50,music_control
播放摇滚乐,music_control
换一首歌,music_control
静音,music_control
播放邓紫棋的歌曲,music_control
开大声一点,music_control
声音小一点,music_control
播放轻音乐,music_control
给张三打电话,phone_call
拨打妈妈的电话,phone_call
打电话给老王,phone_call
接电话,phone_call
挂断电话,phone_call
拒接来电,phone_call
给我老婆打个电话,phone_call
打电话给公司,phone_call
回拨刚才的电话,phone_call
拨打120,phone_call
给爸爸打电话,phone_call
联系李总,phone_call
打电话给同事小刘,phone_call
接听,phone_call
挂掉,phone_call
给好友王明打电话,phone_call
拨打紧急联系人,phone_call
打给我朋友,phone_call
帮我拨打导航中的电话,phone_call
联系售后电话,phone_call
打开左边车窗,window_control
关上右边车窗,window_control
把车窗摇下来,window_control
关闭所有车窗,window_control
打开天窗,window_control
关天窗,window_control
车窗全部打开,window_control
把后排车窗打开,window_control
左前车窗摇下一半,window_control
关闭天窗遮阳帘,window_control
打开右前车窗,window_control
把窗户关上,window_control
天窗开一点,window_control
所有车窗关闭,window_control
后窗打开,window_control
驾驶侧车窗打开,window_control
车窗降下来,window_control
关上左后车窗,window_control
天窗全开,window_control
把副驾车窗摇下来,window_control
现在几点了,query_info
今天天气怎么样,query_info
合肥今天下雨吗,query_info
剩余油量还有多少,query_info
现在车速是多少,query_info
还有多少公里到目的地,query_info
现在堵车吗,query_info
今天是几号,query_info
明天天气如何,query_info
附近有没有停车场,query_info
当前电池电量是多少,query_info
现在几度,query_info
路上好走吗,query_info
还要多久到,query_info
今天星期几,query_info
现在的时速,query_info
附近加油站在哪,query_info
续航里程还有多少,query_info
现在温度多少,query_info
前方有没有限速,query_info
打开车灯,light_control
关闭远光灯,light_control
开启雾灯,light_control
打开双闪,light_control
关掉双闪,light_control
开近光灯,light_control
关闭车内照明,light_control
打开氛围灯,light_control
调暗氛围灯,light_control
开启日间行车灯,light_control
把车灯关了,light_control
开启自动大灯,light_control
室内灯打开,light_control
氛围灯换个颜色,light_control
关掉雾灯,light_control
开启后雾灯,light_control
车灯亮度调低,light_control
打开阅读灯,light_control
关闭阅读灯,light_control
开启迎宾灯,light_control
打开车门,door_control
锁车,door_control
解锁后备箱,door_control
关闭车门,door_control
打开后备箱,door_control
解锁车门,door_control
帮我锁一下,door_control
后备箱关上,door_control
车门没关好提醒一下,door_control
前门解锁,door_control
把后备箱打开,door_control
锁上车门,door_control
开后门,door_control
后备箱开着呢,door_control
检查一下门有没有锁,door_control
打开左后门,door_control
关上所有车门,door_control
解锁驾驶门,door_control
帮我开门,door_control
把车锁上,door_control
调整座椅角度,seat_control
把座椅往前移,seat_control
座椅靠背放平一点,seat_control
调高座椅,seat_control
把副驾驶座椅往后推,seat_control
开启座椅加热,seat_control
关闭座椅通风,seat_control
座椅调低一点,seat_control
开启腰部支撑,seat_control
座椅往后移,seat_control
把座椅调到驾驶模式,seat_control
开启按摩功能,seat_control
关掉座椅加热,seat_control
后排座椅放倒,seat_control
调整靠背角度,seat_control
座椅通风开一下,seat_control
把座椅复位,seat_control
方向盘调高一点,seat_control
调整头枕高度,seat_control
座椅记忆位置恢复,seat_control
打开地图,app_control
打开微信,app_control
帮我发条语音消息,app_control
打开行车记录仪,app_control
截个屏,app_control
打开油耗统计,app_control
显示倒车影像,app_control
打开蓝牙,app_control
关闭wifi,app_control
打开设置,app_control
切换到CarPlay,app_control
打开抖音,app_control
打开喜马拉雅,app_control
显示行程记录,app_control
打开车辆健康检测,app_control
关掉这个应用,app_control
打开导航应用,app_control
启动语音助手,app_control
打开充电记录,app_control
显示维保提醒,app_control
我想睡一会儿,driving_mode
开启高速模式,driving_mode
切换到运动模式,driving_mode
省电模式打开,driving_mode
开启自动驾驶,driving_mode
退出自动驾驶,driving_mode
打开疲劳检测,driving_mode
开启儿童锁,driving_mode
关闭儿童锁,driving_mode
切换到舒适模式,driving_mode
开启车道保持,driving_mode
打开自适应巡航,driving_mode
设置巡航速度120,driving_mode
关闭运动模式,driving_mode
切换到越野模式,driving_mode
开启泊车辅助,driving_mode
打开驾驶员注意力监测,driving_mode
设置限速提醒,driving_mode
切换到节能模式,driving_mode
关闭自动驾驶功能,driving_mode
